TRIANGLE NODE XCOOR YCOOR BOUNDARY
1 0 0.2 0.2 1.0
1 4 0.3 0.1 0.0
1 8 0.2 0.0 2.0
2 4 0.3 0.1 0.0
2 9 0.4 0.0 2.0
2 1 0.4 0.2 1.0
3 0 0.2 0.2 1.0
3 6 0.0 0.2 2.0
3 5 0.0 0.4 2.0
4 0 0.2 0.2 1.0
4 4 0.3 0.1 0.0
4 1 0.4 0.2 1.0
5 2 0.5 0.1 1.0
5 9 0.4 0.0 2.0
5 1 0.4 0.2 1.0
6 2 0.5 0.1 1.0
6 3 0.6 0.1 1.0
6 10 0.6 0.0 2.0
7 6 0.0 0.2 2.0
7 0 0.2 0.2 1.0
7 7 0.0 0.0 2.0
8 8 0.2 0.0 2.0
8 0 0.2 0.2 1.0
8 7 0.0 0.0 2.0
9 8 0.2 0.0 2.0
9 9 0.4 0.0 2.0
9 4 0.3 0.1 0.0
10 9 0.4 0.0 2.0
10 2 0.5 0.1 1.0
10 10 0.6 0.0 2.0
